date,hour,am/pm,burnside_snowdepth_cm,burnside_SWE_mm,leavittlk_snowdepth_cm,leavittil_SWE_mm,leavittmdw_snowdepth_cm,leavittmdw_SWE_mm,squaw _snowdepth_cm,squaw_SWE_mm
4/11/2019 0:00,4:00:00,PM,246,1082,511,2139,99,538,305,1681
4/11/2019 0:00,5:00:00,PM,246,1082,508,2139,99,533,305,1681
4/11/2019 0:00,6:00:00,PM,246,1082,511,2139,99,533,305,1681
4/11/2019 0:00,7:00:00,PM,246,1082,511,2139,102,531,305,1681
4/11/2019 0:00,8:00:00,PM,249,1085,511,2136,102,526,305,1681
4/11/2019 0:00,9:00:00,PM,249,1087,511,2131,102,523,305,1679
4/11/2019 0:00,10:00:00,PM,246,1087,511,2134,102,523,305,1679
4/11/2019 0:00,11:00:00,PM,246,1087,511,2131,102,523,305,1679
4/12/2019 0:00,12:00:00,AM,246,1090,508,2134,102,523,305,1679
4/12/2019 0:00,1:00:00,AM,246,1090,511,2131,102,523,305,1674
4/12/2019 0:00,2:00:00,AM,246,1092,511,2134,102,523,305,1674
4/12/2019 0:00,3:00:00,AM,246,1095,511,2131,102,523,305,1671
4/12/2019 0:00,4:00:00,AM,246,1092,,2131,102,526,307,1671
4/12/2019 0:00,5:00:00,AM,246,1092,,2129,102,521,305,1669
4/12/2019 0:00,6:00:00,AM,246,1090,,2129,102,521,305,1669
4/12/2019 0:00,7:00:00,AM,244,1090,508,2123,99,516,305,1666
4/12/2019 0:00,8:00:00,AM,244,1087,508,2123,99,516,302,1666
4/12/2019 0:00,9:00:00,AM,244,1080,505,2121,94,513,302,1666
4/12/2019 0:00,10:00:00,AM,244,1077,508,2118,94,513,302,1664
4/12/2019 0:00,11:00:00,AM,241,1077,505,2116,94,513,300,1664
4/12/2019 0:00,12:00:00,PM,241,1074,508,2116,94,511,300,1666
4/12/2019 0:00,1:00:00,PM,244,1080,508,2116,94,511,300,1669
4/12/2019 0:00,2:00:00,PM,244,1082,508,2116,91,508,300,1676
4/12/2019 0:00,3:00:00,PM,244,1080,508,2116,91,508,300,1679
4/12/2019 0:00,4:00:00,PM,241,1082,508,2116,91,505,300,1681
4/12/2019 0:00,5:00:00,PM,241,1082,508,2116,94,503,297,1681
4/12/2019 0:00,6:00:00,PM,244,1082,508,2113,97,498,302,1681
4/12/2019 0:00,7:00:00,PM,246,1085,508,2113,97,498,305,1684
4/12/2019 0:00,8:00:00,PM,246,1080,511,2111,97,495,305,1681
4/12/2019 0:00,9:00:00,PM,246,1082,511,2111,97,498,305,1681
4/12/2019 0:00,10:00:00,PM,246,1082,508,2108,97,498,305,1681
4/12/2019 0:00,11:00:00,PM,246,1085,508,2108,97,498,305,1681
4/13/2019 0:00,12:00:00,AM,246,1085,511,2134,97,500,302,1681
4/13/2019 0:00,1:00:00,AM,246,1082,508,2111,99,505,305,1681
4/13/2019 0:00,2:00:00,AM,246,1082,508,2111,99,513,302,1681
4/13/2019 0:00,3:00:00,AM,246,1082,508,2111,99,511,305,1681
4/13/2019 0:00,4:00:00,AM,246,1087,508,2113,99,513,305,1679
4/13/2019 0:00,5:00:00,AM,246,1085,508,2113,97,513,305,1676
4/13/2019 0:00,6:00:00,AM,246,1087,508,2108,97,511,302,1674
4/13/2019 0:00,7:00:00,AM,241,1085,505,2106,91,505,300,1674
4/13/2019 0:00,8:00:00,AM,244,1080,505,2106,91,493,300,1671
4/13/2019 0:00,9:00:00,AM,241,1080,505,2106,91,483,300,1671
4/13/2019 0:00,10:00:00,AM,239,1072,505,2103,91,480,300,1669
4/13/2019 0:00,11:00:00,AM,239,1067,503,2101,91,483,300,1669
4/13/2019 0:00,12:00:00,PM,239,1069,503,2103,91,485,300,1676
4/13/2019 0:00,1:00:00,PM,239,1074,503,2103,91,485,300,1681
4/13/2019 0:00,2:00:00,PM,239,1072,503,2106,89,485,297,1684
4/13/2019 0:00,3:00:00,PM,239,1077,503,2108,89,485,297,1687
4/13/2019 0:00,4:00:00,PM,239,1074,503,2113,89,485,297,1687
4/13/2019 0:00,5:00:00,PM,239,1072,503,2113,89,480,297,1689
4/13/2019 0:00,6:00:00,PM,239,1074,505,2113,91,478,300,1689
4/13/2019 0:00,7:00:00,PM,241,1069,505,2116,91,478,297,1689
4/13/2019 0:00,8:00:00,PM,241,1074,505,2118,94,475,300,1687
4/13/2019 0:00,9:00:00,PM,241,1072,505,2113,91,472,300,1687
4/13/2019 0:00,10:00:00,PM,241,1074,505,2116,91,475,297,1687
4/13/2019 0:00,11:00:00,PM,241,1074,505,2118,91,475,300,1687
4/14/2019 0:00,12:00:00,AM,241,1072,505,2134,94,480,300,1679
4/14/2019 0:00,1:00:00,AM,241,1069,505,2121,91,480,300,1684
4/14/2019 0:00,2:00:00,AM,239,1069,505,2126,91,488,297,1684
4/14/2019 0:00,3:00:00,AM,241,1072,505,2126,94,485,300,1684
4/14/2019 0:00,4:00:00,AM,241,1069,505,2131,94,490,300,1684
4/14/2019 0:00,5:00:00,AM,241,1069,505,2129,91,485,300,1681
4/14/2019 0:00,6:00:00,AM,241,1069,503,2129,91,485,297,1679
4/14/2019 0:00,7:00:00,AM,241,1069,503,2126,91,478,300,1679
4/14/2019 0:00,8:00:00,AM,239,1067,500,2126,89,475,297,1679
4/14/2019 0:00,9:00:00,AM,239,1059,500,2123,91,475,297,1679
4/14/2019 0:00,10:00:00,AM,239,1064,500,2121,91,472,297,1681
4/14/2019 0:00,11:00:00,AM,239,1067,500,2123,89,472,297,1681
4/14/2019 0:00,12:00:00,PM,236,1064,500,2129,86,475,297,1681
4/14/2019 0:00,1:00:00,PM,236,1067,500,2129,86,475,297,1684
4/14/2019 0:00,2:00:00,PM,234,1067,500,2134,86,475,297,1687
4/14/2019 0:00,3:00:00,PM,236,1064,500,2136,84,472,297,1684
4/14/2019 0:00,4:00:00,PM,236,1064,500,2139,84,470,297,1681
4/14/2019 0:00,5:00:00,PM,236,1059,500,2139,86,467,297,1681
4/14/2019 0:00,6:00:00,PM,236,1059,500,2139,86,465,297,1681
4/14/2019 0:00,7:00:00,PM,236,1059,500,2139,86,460,297,1679
4/14/2019 0:00,8:00:00,PM,236,1062,500,2134,86,455,297,1676
